uuid;style;artist;title_music;lastfm_music_url;lastfm_artist_url;videoID_youtube;chroma_stft;mfcc;spec_cent;spec_bw;zcr;spec_rolloff
eeac342c;country;Neil Young;Harvest Moon;https://www.last.fm/music/neil%2byoung;https://www.last.fm/music/neil%2byoung/_/harvest%2bmoon;n2MtEsrcTTs;0.3544029682806904;-3.5349504807993366;1671.87432491832;2247.768284495276;0.06700666669052527;3792.0697354200065
8a85ed1c;country;Kid Rock;All Summer Long;https://www.last.fm/music/kid%2brock;https://www.last.fm/music/kid%2brock/_/all%2bsummer%2blong;uwIGZLjugKA;0.3889801263362725;-1.6776796988027292;2643.2213918733364;2500.8144516130137;0.13048178003254945;5407.540847969286
51a62394;country;The Band Perry;If I Die Young;https://www.last.fm/music/the%2bband%2bperry;https://www.last.fm/music/the%2bband%2bperry/_/if%2bi%2bdie%2byoung;7NJqUN9TClM;0.3071143894787198;-4.224975548710683;2470.0667105154216;2557.2067839490783;0.12289542446785676;5154.30742130293
df48fdf8;country;Carrie Underwood;Before He Cheats;https://www.last.fm/music/carrie%2bunderwood;https://www.last.fm/music/carrie%2bunderwood/_/before%2bhe%2bcheats;WaSy8yy-mr8;0.3300046165974845;1.987621709011833;2686.734556389753;2694.9513074526776;0.13300126468907514;5794.752562002733
fe2a97ad;country;Barry Louis Polisar;All I Want Is You;https://www.last.fm/music/barry%2blouis%2bpolisar;https://www.last.fm/music/barry%2blouis%2bpolisar/_/all%2bi%2bwant%2bis%2byou;hHXau3zAe7E;0.30545133735373736;-4.174320726785935;2084.5130511314724;2383.3167401771593;0.0818522303038105;4568.682314463183
c5ccd383;country;John Denver;Take Me Home, Country Roads;https://www.last.fm/music/john%2bdenver;https://www.last.fm/music/john%2bdenver/_/take%2bme%2bhome%252c%2bcountry%2broads;1vrEljMfXYo;0.29871676699347344;-4.2861222905952365;1930.09267924508;1982.16916542346;0.09606224945868444;3943.808420588461
84ba90f4;country;Dolly Parton;9 to 5;https://www.last.fm/music/dolly%2bparton;https://www.last.fm/music/dolly%2bparton/_/9%2bto%2b5;UbxUSsFXYo4;0.34189216047271576;-1.529731766563336;2037.8554205184353;2097.547943121095;0.0959516897982105;4279.998895431422
a032d1c7;country;Willie Nelson;On The Road Again;https://www.last.fm/music/willie%2bnelson;https://www.last.fm/music/willie%2bnelson/_/on%2bthe%2broad%2bagain;dBN86y30Ufc;0.3523273349217273;-0.5540166955065605;1880.198433178244;2041.0618780464679;0.0913147166301556;3768.1283653709966
3bc3e1b9;country;Sheryl Crow;All I Wanna Do;https://www.last.fm/music/sheryl%2bcrow;https://www.last.fm/music/sheryl%2bcrow/_/all%2bi%2bwanna%2bdo;a-SaoaXfz6E;0.4623583095867882;6.903001245131263;2471.421769871031;2246.922979336555;0.1299028103668942;5171.111560600202
3e654214;country;Lady Gaga;Yoü and I;https://www.last.fm/music/lady%2bgaga;https://www.last.fm/music/lady%2bgaga/_/yo%25c3%25bc%2band%2bi;X9YMU0WeBwU;0.3806142395320829;-3.749195729788612;1983.1460268590736;2119.996050207621;0.09324487121949736;4138.3755397152445
